Date,Open,High,Low,Close,Volume,Adj Close
2013-12-30,557.460022,561.279968,540.429993,540.980042,68991600,74.421959
2013-12-23,568.00,571.880005,559.50,560.089966,68672100,77.050896
2013-12-16,555.02002,562.640015,538.799988,549.02002,91754000,75.528008
2013-12-09,560.900024,570.970032,553.669983,554.429993,77679700,76.272255
2013-12-02,558.00,575.140015,550.819946,560.019958,104662700,77.041267
2013-11-25,521.02002,558.330017,521.00,556.069946,82016900,76.497871
2013-11-18,524.98999,527.190002,513.670044,519.799988,56677600,71.508247
2013-11-11,519.98999,529.279968,514.410034,524.98999,61464400,72.222237
2013-11-04,521.099976,528.890015,512.380005,520.559998,63757600,71.612808
2013-10-28,529.039978,539.25,514.539978,520.030029,104549900,71.124641
2013-10-21,511.77002,533.22998,508.029999,525.960022,98422500,71.935692
2013-10-14,489.830017,509.259979,489.350006,508.889984,68860400,69.601021
2013-10-07,486.559967,493.839966,478.279999,492.809998,72563800,67.401756
2013-09-30,477.25,492.350006,474.410004,483.030029,74242200,66.06414
2013-09-23,496.100006,496.910004,480.720001,482.75,95433500,66.025848
2013-09-16,460.999969,478.550018,447.220001,467.410004,125189600,63.927792
2013-09-09,505.000031,507.919983,464.699982,464.899994,134273300,63.584496
2013-09-03,493.099976,502.240021,487.350006,498.220001,79553400,68.141685
2013-08-26,500.75,510.199982,486.00,487.220032,78735800,66.637215
2013-08-19,504.339966,513.73999,498.199982,501.02002,83601200,68.524643
2013-08-12,456.860016,504.25,456.630005,502.330017,142767300,68.703804
2013-08-05,464.690002,471.890015,453.650024,454.449982,73760600,62.155243
2013-07-29,440.799988,462.850006,440.200012,462.539978,68073600,62.84676
2013-07-22,429.459991,444.589996,418.710022,440.990021,79938700,59.918697
2013-07-15,425.01001,434.869995,424.170013,424.949982,57252300,57.739288
2013-07-08,420.109985,429.790009,410.380005,426.51001,76899200,57.951252
2013-07-01,402.690002,423.290009,401.220001,417.419983,85992000,56.716164
2013-06-24,407.399994,408.660004,388.869995,396.529999,103919700,53.877777
2013-06-17,431.440002,435.700012,408.100006,413.50,80190400,56.183544
2013-06-10,444.72998,449.080017,428.50,430.049988,77959500,58.432243
2013-06-03,450.72998,454.429993,432.77002,441.809998,88857000,60.030113
2013-05-28,449.900024,457.100037,439.399994,449.730042,90909000,61.106232
2013-05-20,431.910004,448.350037,430.099976,445.149994,98991300,60.483929
2013-05-13,451.509979,457.899994,418.899994,433.26001,126839400,58.868397
2013-05-06,455.709961,465.75,450.480011,452.970001,109316600,61.546455
2013-04-29,420.450012,453.230042,420.00,449.980011,131095100,60.738171
2013-04-22,392.639984,418.77002,391.269989,417.199982,160637200,56.313534
2013-04-15,427.00,427.890015,385.100006,390.529999,142196000,52.713627
2013-04-08,424.849976,437.98999,422.48999,429.800018,77517400,58.014278
2013-04-01,441.899994,443.700012,419.679993,423.199982,101230500,57.123413
2013-03-25,464.690002,469.949982,441.619995,442.660004,98094100,59.750118
2013-03-18,441.450012,462.099976,441.200012,461.910004,110999700,62.34848
2013-03-11,429.75,444.230011,425.140015,443.660004,114676600,59.885098
2013-03-04,427.799988,435.429993,419.00,431.720001,127069700,58.273441
2013-02-25,453.850006,455.119995,429.97998,430.470001,116819600,58.104717
2013-02-19,461.100006,462.730011,442.819977,450.809998,105620200,60.850201
2013-02-11,476.50,484.940002,459.920013,460.160004,117438500,62.112263
2013-02-04,453.909973,478.809998,442.00,474.980011,149095500,64.112663
2013-01-28,437.829987,462.600006,435.859985,453.619995,131632400,60.874718
2013-01-22,504.559998,514.98999,435.00,439.880005,249495900,59.030846
2013-01-14,502.680023,510.75,483.379974,500.00,161419300,67.098808
2013-01-07,522.00,531.890015,515.200012,520.300049,115106000,69.823021
2012-12-31,510.529968,555.00,509.00,527.00,135456800,70.722137
2012-12-24,520.350037,524.25,504.659973,509.589966,80474200,68.385757
2012-12-17,508.929993,534.899963,501.230011,519.330017,145530900,69.692848
2012-12-10,525.00,549.559998,505.580017,509.789978,167240600,68.412598
2012-12-03,593.650024,594.590027,518.630005,533.25,196511900,71.560875
2012-11-26,575.900024,594.25,572.26001,585.279968,129539600,78.543175
2012-11-19,540.710022,572.00,539.880005,571.50,131993700,76.693939
2012-11-12,554.149963,554.50,505.75,527.679993,179136300,70.813393
2012-11-05,583.52002,590.73999,533.719971,547.059998,184188000,73.414146
2012-10-31,594.880005,603.00,574.75,576.799988,122556200,77.053253
2012-10-22,612.419983,635.380005,591.00,604.00,174358100,80.686829
2012-10-15,632.350037,652.789978,609.619995,609.840027,129601000,81.46698
2012-10-08,646.880005,647.559998,623.550049,629.710022,149652100,84.121361
2012-10-01,671.159973,676.75,650.649963,652.589966,128030000,87.177841
2012-09-24,686.859985,695.119995,660.350037,667.100037,143213000,89.116196
2012-09-17,699.349976,705.070007,693.619995,700.089966,100328300,93.523247
2012-09-10,680.450012,696.97998,656.00,691.280029,145152400,92.346344
2012-09-04,665.76001,682.480042,664.50,680.440002,89070600,90.898247
2012-08-27,679.98999,680.869995,657.25,665.23999,76912600,88.867722
2012-08-20,650.01001,674.880005,648.109985,663.219971,142444800,88.597878
2012-08-13,623.390015,648.190002,623.25,648.109985,78681900,86.579369
2012-08-06,617.290039,625.00,615.26001,621.700012,62691800,83.051323
2012-07-30,590.920044,617.980042,587.820007,615.700012,95152500,81.89817
2012-07-23,594.399963,609.679993,570.00,585.159973,137049500,77.835846
2012-07-16,605.119995,615.349976,603.149963,604.300049,84095900,80.38179
2012-07-09,605.299988,619.869995,592.679993,604.969971,105007700,80.470901
2012-07-02,584.730042,614.339966,583.599976,605.880005,96569900,80.591949
2012-06-25,577.299988,584.00,565.609985,584.00,74412600,77.681557
2012-06-18,570.959961,590.00,570.369995,582.099976,88579100,77.428818
2012-06-11,587.719971,588.50,566.700012,574.130005,100052600,76.368683
2012-06-04,561.50,580.580017,548.50,580.320007,103697400,77.192047
2012-05-29,570.900024,581.50,560.52002,560.98999,120162500,74.620842
2012-05-21,534.50,576.50,534.049988,562.289978,136780500,74.793762
2012-05-14,562.570007,567.51001,522.179993,530.380005,141968500,70.549217
2012-05-07,561.50,575.880005,558.72998,566.710022,108541000,75.381699
2012-04-30,597.799988,598.400024,565.169983,565.25,123253700,75.187492
2012-04-23,570.609985,618.00,555.00,603.00,194562300,80.208862
2012-04-16,610.059998,620.25,570.419983,572.97998,244827500,76.215714
2012-04-09,626.130005,644.00,603.51001,605.22998,182892900,80.505486
2012-04-02,601.830017,634.660034,600.380005,633.679993,165449300,84.289803
2012-03-26,599.790039,621.450012,595.26001,599.549988,159880400,79.749954
2012-03-19,598.369995,609.650024,589.049988,596.049988,170814900,79.284401
2012-03-12,548.97998,600.01001,547.00,585.570007,225109300,77.890388
2012-03-05,545.420044,547.73999,516.219971,545.170044,167663000,72.516533
2012-02-27,521.309998,548.209961,516.280029,545.179993,160748100,72.51786
2012-02-21,506.880005,522.899963,504.119995,522.409973,129499800,69.489075
2012-02-13,499.529999,526.290039,486.630005,502.119995,198204500,66.790176
2012-02-06,458.380005,497.619995,458.200012,493.419983,124452100,65.632927
2012-01-30,445.709991,460.00,445.390015,459.679993,75723300,61.144958
2012-01-23,422.669983,454.449982,419.549988,447.279999,121785400,59.495556
2012-01-17,424.199982,431.369995,419.75,420.300018,74712500,55.906776
2012-01-09,425.50,427.75,418.660004,419.809998,65295700,55.841599
2012-01-03,409.399994,422.75,409.00,422.399994,71987800,56.186108
2011-12-27,403.099976,409.089996,400.51001,405.00,55586100,53.871624
2011-12-19,382.470001,403.590027,380.480011,403.330017,65372500,53.649487
2011-12-12,391.679993,395.399994,377.679993,381.019989,86228100,50.681892
2011-12-05,393.48999,396.410004,386.759979,393.619995,80945200,52.357899
